Name Formatted,"Where is the job located? (City, State, Country)",When does the application close?,Educational requirements?,What sector is this job in?
Research Data Scientist: COVID-19 Response Analysis,"New York, NY, USA",11/18/2020,Ph.D Graduate,Non-profit
USDA-ARS Machine Learning & AI in Nutrition Research Fellowship,"Davis, CA, USA",9/30/2021,Ph.D Graduate,Government
Lemay Lab Post Doc,"Davis, CA, USA",,Ph.D Graduate,Academia
"Population Dynamics & Modeling Biometrician I, II, or III","Olympia, Washington, USA"," November 18, 2020",Master's Degree,Government
Data Science Intern,"Boulder, CO, USA",,Current Undergrad,Industry
Data Science Intern,"New York, NY, USA",,Current Undergrad,Industry
Data Scientist,"San Francisco, CA, USA",,Bachelor's Degree,Non-profit
Data Analyst,"San Francisco, CA, USA",,Bachelor's Degree,Non-profit
Technology Fellow,"New York, NY, USA",,Bachelor's Degree,Non-profit
Research and Data Analyst - Office of Diversity & Inclusion,"WASHINGTON, DC, USA",,Master's Degree,Government
BioData Catalyst Fellows Program,,12/4/2020,Current Grad Student,Government
Gladstone-BTS Faculty,"San Fransisco, CA, USA",12/5/2020,Ph.D Graduate,Academia
Gladstone-DEB Faculty,"San Fransisco, CA, USA",12/5/2020,Ph.D Graduate,Academia
Assistant Professor of Data Science,"Boston, MA, USA",,Ph.D Graduate,Academia
Computational Social Science (CSS) GSR,"Davis, CA, USA",,Current Grad Student,Academia
Head of Data and Innovation,"London, UK",11/16/2020,Bachelor's Degree,Non-profit
Interdisciplinary Biologist/Physical Scientist (Data Scientist),"Fort Collins, CO, USA",11/3/2020,Bachelor's Degree,Government
Interdisciplinary Biologist/Physical Scientist (Data Scientist),"Fort Collins, CO, USA",11/3/2020,Bachelor's Degree,Government
DataKind Technical Lead,"New York, NY, USA",,Bachelor's Degree,Non-profit
Education Data Science and Learning Engineering Fellowship,Remote,11/30/2020,Current Undergrad,Academi
Research Computing Facilitator (Search on Site),"St. Louis, MO, USA",,Bachelor's Degree,Academia
Postdoctoral researcher in Computational Social Science,"Amsterdam, NL",12/3/2020,Ph.D Graduate,Academia
Data Engineer,"Chicago, IL, USA; Remote",,Bachelor's Degree,Industry
Computation and Data Specialist at UC Santa Barbara ,"Santa Barbara, CA, USA",4/1/2021,Master's Degree,Academia
Assistant Professor of Data Science,"Boston, MA, USA",,Faculty,Academia
SPAR Lab GIS Postdoc,,,Ph.D Graduate,Academia
Research Technician,Remote,11/23/2020,Bachelor's Degree,Academia
Integrative Data Analytics Intern,"Woodland, CA, USA",,Current Grad Student,Industry
Biodiversity Data Scientist,"Norwich, VT, USA",,Master's Degree,Non-profit
Data and Reporting Analyst,"Oakland, CA, US",,Bachelor's Degree,Non-profit
Internship: Data Scientist for AI against Modern Slavery,Remote,,Bachelor's Degree,Non-profit
Data Analyst,"Denver, CO, USA",,Bachelor's Degree,Non-profit
Quantitative Research Associate ,"Washington, DC, USA",,Master's Degree,Non-profit
City Data Fellow,"Baltimore, MD, USA",,Current Undergrad,Government
LexisNexis Data Science Intern,"San Francisco, CA, USA",,Current Grad Student,Industry
Data Science Summer Intern,"Santa Barbara, CA, USA",,Current Grad Student,Industry
Assistant or Associate Professor – Applied Statistics,"Vienna, Austria",,Faculty,Academia
Data Abstractor,"Sacramento, CA, USA",,Current Grad Student,Government
Applied Scientist - Geospatial,Remote,,Bachelor's Degree,Industry
Research Project and Data Manager,"Lawrence, KS, USA",,Master's Degree,Academic
Data Manager,Remote,12/7/2020,Bachelor's Degree,Non-profit
Social Justice Data Science Assistant Adjunct Professor,"Los Angeles, CA, USA",1/4/2021,Ph.D Graduate,Academia
AIGI Public Fellow,"New York, NY, USA",12/7/2020,Current Grad Student,Academia
Polarization and Social Change PostDoc,"Stanford, CA, USA",1/21/2021,Ph.D Graduate,Academia
Senior Data Analyst,Remote,,Bachelor's Degree,Non-profit
Social Stratification Postdoc,"Copenhagen, Denmark",1/4/2021,Ph.D Graduate,Academia
City of Los Angeles Data Fellow,"Los Angeles, CA, USA",,Current Undergrad,Government
Justice Data Analyst,Remote,1/8/2021,Bachelor's Degree,Non-profit
Director Researcher Engagement,"Princeton, NJ, USA",,Bachelor's Degree,Academia
Data Hub Service Lead,"Berkeley, CA, USA",,Bachelor's Degree,Academia
Graduate Assistant - Equity and Data Analysis,Remote,,Current Grad Student,Academia
NIH Data Scientist,"Montgomery County, MD, USA",12/18/2020,Bachelor's Degree,Government
NYT Data Analytics Intern,"New York, NY, USA",12/16/2020,Current Undergrad,Industry
Data Science TT Professor,"Ann Arbor, MI, USA",,Ph.D Graduate,Academia
Consumer Financial Protection Bureau Data Engineer,"Washington, DC, USA",12/22/2020,Bachelor's Degree,Government
Graduate Assistant - Equity and Data Analysis,Remote,,Current Grad Student,Academia
Civic Digital Fellow,Remote,2/1/2021,Current Undergrad,Non-profit
Explainability of AI Postdoc,"Washington, DC, USA",,Ph.D Graduate,Non-profit
University of Essex Data Scientist,"Colchester, UK",6/1/2021,Master's Degree,Academia
Postdoctoral Scholar - Sierra Nevada Research Institute,"Merced, CA, USA",1/6/2021,Ph.D Graduate,Academia
Information Research Specialist,"Boston, MA, USA",,Bachelor's Degree,Academia
ACLU Redistricting Fellow," New York, NY, USA",,Bachelor's Degree,Non-profit
City of SF Intern,"San Francisco, CA, USA",1/10/2021,Current Undergrad,Government
Junior Research Data Scientist,"London, UK",1/31/2021,Bachelor's Degree,Government
NIAID Emerging Leaders in Data Sciences,"Washington, DC, USA",2/12/2021,Bachelor's Degree,Government
Data Science for Social Good UK 2021,REMOTE,1/31/2021,Current Grad Student,Non-profit
MULTIPLE US Data Service,,,Master's Degree,Government
Data Science and Applied AI Postdoc,"Chicago, IL, USA",,Ph.D Graduate,Academia
Data Science for the Public Good,,2/15/2021,Current Undergrad,Non-profit
Health and Data Researcher,,1/31/2021,Master's Degree,Industry
Computational Social Science Assistant Teaching Professor,"San Diego, CA, USA",1/30/2021,Ph.D Graduate,Academia
Computational Social Science Associate or Full Teaching Professor,"San Diego, CA, USA",1/30/2021,Ph.D Graduate,Academia
Science of Science & Innovation Postdoc,"Ann Arbor, MI, USA",,Ph.D Graduate,Academia
Data Reporter,"New York, NY, USA",2/28/2021,Bachelor's Degree,Non-profit
Data Analyst,Remote,,Bachelor's Degree,Industry
Labor and Text Postdoc,"Amsterdam, NL",3/2/2021,Ph.D Graduate,Academia
Senior Quantitative Criminal Justice Researcher,"San Francisco, CA, USA",,Bachelor's Degree,Non-profit
WHIS Software Engineer position,"Bozeman, MT, USA",,Bachelor's Degree,Non-profit
